"",""
"Action","Action"
"Add Ordercancel","Add Ordercancel"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find ordercancel to delete.","Could not find ordercancel to delete."
"Delete Ordercancel","Delete Ordercancel"
"Delete","Delete"
"Disabled","Disabled"
"Edit Ordercancel '%s'","Edit Ordercancel '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Ordercancel was successfully deleted.","Ordercancel was successfully deleted."
"Ordercancel was successfully saved","Ordercancel was successfully saved"
"Ordercancel","Ordercancel"
"Please select ordercancel to delete.","Please select ordercancel to delete."
"Please select ordercancel.","Please select ordercancel."
"Save And Continue Edit","Save And Continue Edit"
"Save Ordercancel","Save Ordercancel"
"Status","Status"
"Store views","Store views"
"There was a problem saving the ordercancel.","There was a problem saving the ordercancel."
"There was an error deleteing ordercancel.","There was an error deleteing ordercancel."
"There was an error updating ordercancel.","There was an error updating ordercancel."
"This ordercancel no longer exists.","This ordercancel no longer exists."
"Total of %d ordercancel were successfully deleted.","Total of %d ordercancel were successfully deleted."
"Total of %d ordercancel were successfully updated.","Total of %d ordercancel were successfully updated."
"Unable to find ordercancel to save.","Unable to find ordercancel to save."
"XML","XML"
"Yes","Yes"
"name","name"